Icon,Item ID,Item name,Price,Last successful update,Last attempted update
,554,Fire Rune,5 gp,09/12/2018,09/12/2018
,555,Water Rune,5 gp,09/12/2018,09/12/2018
,556,Air Rune,5 gp,09/12/2018,09/12/2018
,557,Earth Rune,5 gp,09/12/2018,09/12/2018
,558,Mind Rune,4 gp,09/12/2018,09/12/2018
,559,Body Rune,5 gp,09/12/2018,09/12/2018
,560,Death Rune,287 gp,09/12/2018,09/12/2018
,561,Nature Rune,261 gp,09/12/2018,09/12/2018
,562,Chaos Rune,101 gp,09/12/2018,09/12/2018
,563,Law Rune,277 gp,09/12/2018,09/12/2018
,564,Cosmic Rune,139 gp,09/12/2018,09/12/2018
,565,Blood Rune,322 gp,09/12/2018,09/12/2018
,566,Soul Rune,146 gp,09/12/2018,09/12/2018
,4694,Steam Rune,73 gp,09/12/2018,09/12/2018
,4695,Mist Rune,41 gp,09/12/2018,09/12/2018
,4696,Dust Rune,3 gp,09/12/2018,09/12/2018
,4697,Smoke Rune,34 gp,09/12/2018,09/12/2018
,4698,Mud Rune,204 gp,09/12/2018,09/12/2018
,4699,Lava Rune,4 gp,09/12/2018,09/12/2018
,9075,Astral Rune,167 gp,09/12/2018,09/12/2018
,21880,Wrath Rune,475 gp,09/12/2018,09/12/2018
,449,Adamantite Ore,"1,047 gp",09/12/2018,09/12/2018
,436,Copper Ore,53 gp,09/12/2018,09/12/2018
,444,Gold Ore,356 gp,09/12/2018,09/12/2018
,440,Iron Ore,160 gp,09/12/2018,09/12/2018
,447,Mithril Ore,183 gp,09/12/2018,09/12/2018
,451,Runite Ore,"10,863 gp",09/12/2018,09/12/2018
,442,Silver Ore,80 gp,09/12/2018,09/12/2018
,438,Tin Ore,54 gp,09/12/2018,09/12/2018
